번호,링크,날짜,앵글,참가자(선택),제목,주제(선택),등록자(선택)
74,https://www.youtube.com/watch?v=JMYWCQtv3Cw,2025-11-16,,,251114 코오롱스포렉스 연무식 연습,,
75,https://www.youtube.com/watch?v=gEbAsnTG8uI,2025-11-11,,,251110 코오롱스포렉스 저녁반 대련 (한정훈사범님 최혜선사범님 명진 은서 민채 수빈 해민 유민 예진),,
76,https://www.youtube.com/watch?v=7shHQI5qyYo,2025-11-03,,,251103 코오롱스포렉스 저녁반,,
77,https://www.youtube.com/watch?v=cFP9MUDbXZw,2025-11-03,,,251031 코오롱스포렉스 저녁반,,
78,https://www.youtube.com/watch?v=rt-GK7MOMqU,2025-10-25,,,251025 코오롱스포렉스 저녁반,,
79,https://www.youtube.com/watch?v=VSzLxRBO_i4,2025-09-19,,,250917 코오롱스포렉스 저녁반,,
80,https://www.youtube.com/watch?v=2GhivgQeAg4,2025-09-18,,,2025 강북구회장기 여자부,,
81,https://www.youtube.com/watch?v=_kjcA9wkyV8,2025-09-18,,,250915 코오롱스포렉스 저녁반,,
82,https://www.youtube.com/watch?v=-aBiUIZwoFA,2025-09-18,,,머리치기연습,,
83,https://www.youtube.com/watch?v=YTAGDvdds3U,2025-09-06,,,250906 강북구청장기 여자단체부 결승 (명검대 홍 부대통령 백),,
84,https://www.youtube.com/watch?v=fUxxvWXRG9E,2025-09-04,,,250903 코오롱스포렉스 저녁반 시합영상,,
85,https://www.youtube.com/watch?v=5BM0vYDCH_k,2025-09-02,,,250901 코오롱스포렉스 저녁반,,
86,https://www.youtube.com/watch?v=a8frFe8d-p0,2025-07-27,,,250727 코오롱스포렉스 주말반,,
87,https://www.youtube.com/watch?v=24dA9fuBY3U,2025-07-13,,,250713 코오롱스포렉스 주말운동,,
88,https://www.youtube.com/watch?v=Gf1aUF0x0Fw,2025-06-14,,,2024년 11월 18일 코오롱스포렉스 저녁반,,
89,https://www.youtube.com/watch?v=2HigkpiRv0U,2025-05-10,,,코오롱스포렉스 시합연습 250510,,
90,https://www.youtube.com/watch?v=ZOP012_89ko,2025-04-13,,,코오롱스포렉스 250411,,
91,https://www.youtube.com/watch?v=dDMsSpe87zg,2025-04-08,,,코오롱스포렉스 저녁반 250407,,
92,https://www.youtube.com/watch?v=WY3ZAEUnpnI,2025-04-05,,,250402 코오롱스포렉스 저녁운동,,
93,https://www.youtube.com/watch?v=AllLFXHH3m8,2024-12-07,,,[2024] 동대문구 단별선수권대회 여자3단부 7 홍 황예지 백 임수정,,
94,https://www.youtube.com/watch?v=X5S-svsbdWo,2024-12-07,,,[2024] 동대문구 단별선수권대회 여자 2단부,,
95,https://www.youtube.com/watch?v=ysTLCRY_z8s,2024-12-07,,,[2024] 동대문구 단별검도대회 이검회 류연주 백,,
